Year,Month,DOMESTIC,INTERNATIONAL,TOTAL
2002,10,31443,,31443
2002,11,29837,,29837
2002,12,32867,,32867
2003,1,25787,,25787
2003,2,25722,,25722
2003,3,30685,,30685
2003,4,27734,,27734
2003,5,30872,,30872
2003,6,33096,,33096
2003,7,36688,4,36692
2003,8,37921,,37921
2003,9,31062,1,31063
2003,10,33586,0,33586
2003,11,32781,,32781
2003,12,33986,,33986
2004,1,27214,,27214
2004,2,29525,,29525
2004,3,34149,,34149
2004,4,33143,,33143
2004,5,34536,,34536
2004,6,37042,,37042
2004,7,38299,,38299
2004,8,40557,,40557
2004,9,34912,,34912
2004,10,36369,,36369
2004,11,35090,,35090
2004,12,35692,,35692
2005,1,31568,,31568
2005,2,30650,,30650
2005,3,35804,,35804
2005,4,35778,,35778
2005,5,37428,,37428
2005,6,38812,13,38825
2005,7,38072,16,38088
2005,8,39075,20,39095
2005,9,35269,16,35285
2005,10,37660,15,37675
2005,11,34817,,34817
2005,12,35778,,35778
2006,1,30675,,30675
2006,2,30080,2,30082
2006,3,37885,1,37886
2006,4,36461,0,36461
2006,5,38848,1,38849
2006,6,38909,0,38909
2006,7,38649,0,38649
2006,8,39683,1,39684
2006,9,35486,0,35486
2006,10,36754,,36754
2006,11,35297,,35297
2006,12,34833,,34833
2007,1,29589,,29589
2007,2,28239,,28239
2007,3,35985,,35985
2007,4,34052,,34052
2007,5,36198,,36198
2007,6,35803,,35803
2007,7,36536,,36536
2007,8,38451,,38451
2007,9,34042,,34042
2007,10,35096,,35096
2007,11,34947,,34947
2007,12,35443,,35443
2008,1,29788,,29788
2008,2,31057,,31057
2008,3,36942,,36942
2008,4,34233,,34233
2008,5,37408,,37408
2008,6,37874,,37874
2008,7,40206,,40206
2008,8,39537,,39537
2008,9,31920,,31920
2008,10,32827,,32827
2008,11,30529,,30529
2008,12,30361,,30361
2009,1,26721,,26721
2009,2,26878,,26878
2009,3,32211,,32211
2009,4,31107,,31107
2009,5,32117,,32117
2009,6,35491,,35491
2009,7,36025,,36025
2009,8,36039,,36039
2009,9,31793,1,31794
2009,10,31684,,31684
2009,11,29742,,29742
2009,12,29440,,29440
2010,1,24944,,24944
2010,2,24641,,24641
2010,3,30899,,30899
2010,4,30488,,30488
2010,5,32359,,32359
2010,6,37992,,37992
2010,7,37526,,37526
2010,8,38494,,38494
2010,9,32626,,32626
2010,10,31599,,31599
2010,11,30070,,30070
2010,12,30256,,30256
2011,1,26031,,26031
2011,2,24841,,24841
2011,3,30941,,30941
2011,4,30032,,30032
2011,5,32665,,32665
2011,6,33373,,33373
2011,7,34672,1,34673
2011,8,34483,,34483
2011,9,30350,,30350
2011,10,31246,,31246
2011,11,28783,,28783
2011,12,29040,,29040
2012,1,25692,,25692
2012,2,26036,,26036
2012,3,28927,,28927
2012,4,28714,,28714
2012,5,31188,,31188
2012,6,34577,,34577
2012,7,35596,,35596
2012,8,36929,,36929
2012,9,30989,,30989
2012,10,32086,,32086
2012,11,29538,,29538
2012,12,29319,,29319
2013,1,26610,,26610
2013,2,25997,,25997
2013,3,29341,,29341
2013,4,28977,,28977
2013,5,30281,,30281
2013,6,31831,,31831
2013,7,31600,2,31602
2013,8,33909,1,33910
2013,9,32692,,32692
2013,10,31148,2,31150
2013,11,29114,,29114
2013,12,31000,,31000
2014,1,27689,13,27702
2014,2,25440,6,25446
2014,3,29997,4,30001
2014,4,26491,5,26496
2014,5,27814,3,27817
2014,6,28818,3,28821
2014,7,29239,,29239
2014,8,29276,,29276
2014,9,28021,,28021
2014,10,29381,,29381
2014,11,26197,,26197
2014,12,25993,,25993
2015,1,22879,,22879
2015,2,21584,,21584
2015,3,25159,,25159
2015,4,25843,,25843
2015,5,27008,,27008
2015,6,27688,,27688
2015,7,28647,,28647
2015,8,30330,,30330
2015,9,27009,,27009
2015,10,29342,6,29348
2015,11,26549,,26549
2015,12,24115,,24115
2016,1,22306,,22306
2016,2,22543,,22543
2016,3,24992,5,24997
2016,4,23985,2,23987
2016,5,26285,2,26287
2016,6,29201,,29201
2016,7,30588,,30588
2016,8,31502,0,31502
2016,9,30201,,30201
2016,10,30759,,30759
2016,11,29981,1,29982
2016,12,26939,1,26940
2017,1,24386,4,24390
2017,2,22963,,22963
2017,3,29377,,29377
2017,4,28255,,28255
2017,5,30626,,30626
2017,6,31214,,31214
2017,7,31267,,31267
2017,8,33149,,33149
2017,9,31528,,31528
2017,10,34401,,34401
2017,11,33143,,33143
2017,12,26045,,26045
2018,1,25642,,25642
2018,2,24385,,24385
2018,3,29470,,29470
2018,4,31668,,31668
2018,5,34411,,34411
2018,6,36321,,36321
2018,7,36695,,36695
2018,8,38489,,38489
2018,9,34426,,34426
2018,10,37353,,37353
2018,11,36226,,36226
